,Image,F1,Jaccard,Recall,Precision,Accuracy
145,684.png,0.9521462312589855,0.9086632693061545,0.9165678133649664,0.9905982905982906,0.9964447021484375
146,2624.png,0.6666666666666667,0.5,0.525974025974026,0.9101123595505618,0.99505615234375
147,627.png,0.68366124893071,0.5193657395373018,0.5280126849894292,0.9694323144104804,0.9717864990234375
148,313.png,0.9679690249912003,0.9379263301500682,0.960195530726257,0.9758694109297374,0.9986114501953125
149,2925.png,0.0,0.0,0.0,0.0,0.9963531494140625
150,1583.png,0.7954954954954956,0.6604338070306657,0.6634109691960932,0.9932508436445444,0.993072509765625
151,496.png,0.9577689243027888,0.918960244648318,0.9554848966613673,0.9600638977635783,0.9991912841796875
152,1178.png,0.9526542324246772,0.9095890410958904,0.972181551976574,0.9338959212376934,0.998992919921875
153,903.png,0.0,0.0,0.0,0.0,0.9505615234375
154,1813.png,0.459119496855346,0.2979591836734694,0.3067226890756303,0.9125,0.99737548828125
155,2522.png,0.6765039727582293,0.5111492281303602,0.9071537290715372,0.539366515837104,0.991302490234375
156,435.png,0.920611798980335,0.8529014844804319,0.9984202211690363,0.8540540540540541,0.9983367919921875
157,84.png,0.8036869974504804,0.6718032786885246,0.6773553719008264,0.9879459980713597,0.9847259521484375
158,1503.png,0.9424528301886792,0.8911685994647636,0.9224376731301939,0.9633558341369335,0.998138427734375
159,1986.png,0.6924242424242425,0.52954808806489,0.5889175257731959,0.8400735294117647,0.993804931640625
160,1488.png,0.0,0.0,0.0,0.0,0.9968109130859375
161,937.png,0.9597113650030067,0.922543352601156,0.9937733499377335,0.9279069767441861,0.9989776611328125
162,2320.png,0.0,0.0,0.0,0.0,0.978973388671875
163,50.png,0.9260213470739787,0.86223440712817,0.989771833202203,0.8699861687413555,0.9969329833984375
164,664.png,0.963991769547325,0.9304865938430983,0.9780793319415448,0.9503042596348884,0.998931884765625
165,1588.png,0.47045871559633023,0.30758157389635316,0.30802498798654493,0.9953416149068323,0.9779815673828125
166,2133.png,0.87321505841627,0.7749615975422427,0.9218821379625399,0.8294286888614879,0.991058349609375
167,3018.png,0.7124511446119486,0.5533391153512576,0.5813211845102506,0.9199711607786589,0.984283447265625
168,476.png,0.9113924050632912,0.8372093023255814,0.9818181818181818,0.8503937007874016,0.999359130859375
169,597.png,0.0,0.0,0.0,0.0,0.996673583984375
170,230.png,0.9247606019151846,0.8600508905852418,0.8825065274151436,0.9712643678160919,0.9991607666015625
171,609.png,0.8765294771968855,0.7801980198019802,0.7908999665439946,0.982952182952183,0.989837646484375
172,282.png,0.9290495314591699,0.8675,0.9914285714285714,0.8740554156171285,0.9991912841796875
173,2870.png,0.7463902258422807,0.5953927938570585,0.5960969840331165,0.998019801980198,0.979095458984375
174,686.png,0.7952249770431588,0.6600609756097561,0.6702786377708978,0.9774266365688488,0.9965972900390625
175,2264.png,0.9249343832020998,0.8603515625,0.8939624556062912,0.9581294181620446,0.995635986328125
176,1960.png,0.0,0.0,0.0,0.0,0.9810943603515625
177,1646.png,0.8857677902621722,0.7949579831932773,0.8312829525483304,0.9478957915831663,0.998138427734375
178,794.png,0.43304306895740174,0.2763592670471613,0.2763592670471613,1.0,0.9632415771484375
179,2661.png,0.41028638223261255,0.2580882352941177,0.2580882352941177,1.0,0.9846038818359375
180,1324.png,0.9078947368421053,0.8313253012048193,0.8961038961038961,0.92,0.999359130859375
181,2505.png,0.31539424280350437,0.18722139673105498,0.5556780595369349,0.22018348623853212,0.96661376953125
182,1659.png,0.4712041884816754,0.3082191780821918,0.31690140845070425,0.9183673469387755,0.9984588623046875
183,76.png,0.9778028592927014,0.9565697460434303,0.9840969329799318,0.971588785046729,0.998199462890625
184,2459.png,0.38746438746438744,0.24028268551236748,0.24028268551236748,1.0,0.9639129638671875
185,2907.png,0.0,0.0,0.0,0.0,0.97576904296875
186,2873.png,0.06717557251908396,0.03475513428120063,0.11398963730569948,0.047619047619047616,0.9906768798828125
187,2849.png,0.8776462145676355,0.7819693094629157,0.7864951768488746,0.9926948051948052,0.989593505859375
188,2033.png,0.9057093425605537,0.8276679841897233,0.9858757062146892,0.8376,0.996673583984375
189,507.png,0.9799518845228548,0.960691823899371,0.9765583377730421,0.9833690987124464,0.9988555908203125
190,1515.png,0.770053475935829,0.6260869565217392,0.6297376093294461,0.9908256880733946,0.9980316162109375
191,1498.png,0.31217838765008576,0.18495934959349594,0.18495934959349594,1.0,0.9938812255859375
192,11.png,0.9566037735849057,0.9168173598553345,0.9863813229571985,0.9285714285714286,0.997894287109375
193,2955.png,0.0,0.0,0.0,0.0,0.989990234375
194,669.png,0.9648106904231626,0.9320137693631669,0.9990774907749077,0.9328165374677002,0.9987945556640625
195,2210.png,0.6649404453650959,0.49806051202482543,0.5255832992222677,0.904862579281184,0.980255126953125
196,1714.png,0.0,0.0,0.0,0.0,0.9959259033203125
197,1653.png,0.0,0.0,0.0,0.0,0.997314453125
198,1600.png,0.8567901234567902,0.7494600431965442,0.8463414634146341,0.8675,0.99822998046875
199,2604.png,0.5962190984003878,0.42472375690607733,0.615,0.5785512699905927,0.974578857421875
200,1340.png,0.7263157894736842,0.5702479338842975,0.5726141078838174,0.9928057553956835,0.996826171875
201,1138.png,0.0,0.0,0.0,0.0,0.9951324462890625
202,769.png,0.8691358024691358,0.7685589519650655,0.8529886914378029,0.8859060402684564,0.995147705078125
203,2314.png,0.9434214931369267,0.8929024081115335,0.8929024081115335,1.0,0.9974212646484375
204,2059.png,0.0,0.0,0.0,0.0,0.9931488037109375
205,1832.png,0.9667896678966789,0.9357142857142857,0.9913513513513513,0.9434156378600823,0.9990386962890625
206,1598.png,0.8828250401284109,0.7902298850574713,1.0,0.7902298850574713,0.9988861083984375
207,2817.png,0.0,0.0,0.0,0.0,0.9882354736328125
208,1191.png,0.8558558558558558,0.7480314960629921,0.967741935483871,0.7671601615074024,0.9970703125
209,1446.png,0.9005328596802842,0.8190630048465266,1.0,0.8190630048465266,0.998291015625
210,538.png,0.9271414506071546,0.864178647904558,0.878147342244327,0.9819256169621133,0.99322509765625
211,2676.png,0.5956521739130435,0.4241486068111455,0.44365284974093266,0.906084656084656,0.985809326171875
212,791.png,0.4210526315789474,0.26666666666666666,0.26666666666666666,1.0,0.9823760986328125
213,55.png,0.8759342301943198,0.7792553191489362,0.8851963746223565,0.8668639053254438,0.9987335205078125
214,947.png,0.8913043478260869,0.803921568627451,0.877431906614786,0.9056224899598394,0.998321533203125
215,1811.png,0.47037037037037044,0.3075060532687651,0.3198992443324937,0.8881118881118881,0.995635986328125
216,1821.png,0.7878787878787878,0.65,0.7482014388489209,0.832,0.998291015625
217,3022.png,0.8550724637681159,0.7468354430379747,0.8368794326241135,0.8740740740740741,0.9981689453125
218,1752.png,0.8786324786324785,0.7835365853658537,0.969811320754717,0.803125,0.9989166259765625
219,1267.png,0.6865671641791045,0.5227272727272727,0.8984375,0.5555555555555556,0.9983978271484375
220,2307.png,0.8679631525076765,0.7667269439421338,0.8617886178861789,0.8742268041237113,0.9980316162109375
221,3002.png,0.018583042973286876,0.009378663540445486,0.009415457041977247,0.7058823529411765,0.9613189697265625
222,1137.png,0.9252336448598131,0.8608695652173913,0.873015873015873,0.9840954274353877,0.998779296875
223,2070.png,0.8497008095740937,0.7386780905752754,0.9710378117457763,0.7553191489361702,0.9934844970703125
224,441.png,0.9329983249581241,0.8744113029827315,0.9408783783783784,0.925249169435216,0.996337890625
225,399.png,0.974914481185861,0.9510567296996663,0.9553072625698324,0.9953434225844005,0.9986572265625
226,2386.png,0.8690095846645367,0.768361581920904,0.7826471890216911,0.9767955801104973,0.9918670654296875
227,2518.png,0.0,0.0,0.0,0.0,0.98651123046875
228,329.png,0.8896341463414634,0.8012081274025261,0.8029719317556412,0.9972658920027341,0.994476318359375
229,300.png,0.9622183708838822,0.927187708750835,0.9406980684513724,0.9847463639588506,0.996673583984375
230,2369.png,0.6420866836634634,0.47284806470248414,0.47284806470248414,1.0,0.9721527099609375
231,1852.png,0.7836257309941521,0.6442307692307693,0.6442307692307693,1.0,0.998870849609375
232,2023.png,0.0,0.0,0.0,0.0,0.985992431640625
233,755.png,0.93930799773114,0.8855614973262033,0.8951351351351351,0.9880668257756563,0.9983673095703125
234,146.png,0.9413983173774296,0.8892847355439847,0.9049079754601227,0.9809552599758162,0.99383544921875
235,1818.png,0.638680659670165,0.46916299559471364,0.494199535962877,0.902542372881356,0.9963226318359375
236,2682.png,0.0,0.0,0.0,0.0,0.992218017578125
237,953.png,0.9333333333333333,0.875,0.963302752293578,0.9051724137931034,0.999542236328125
238,2974.png,0.0,0.0,0.0,0.0,0.9956512451171875
239,231.png,0.8979591836734693,0.8148148148148148,0.8695652173913043,0.9282700421940928,0.9969482421875
240,2509.png,0.14018691588785046,0.07537688442211055,0.07537688442211055,1.0,0.9803466796875
241,2589.png,0.0,0.0,0.0,0.0,0.99127197265625
242,1341.png,0.8270531400966183,0.7051070840197694,0.7328767123287672,0.9490022172949002,0.9972686767578125
243,1483.png,0.7018779342723004,0.5406871609403255,0.5652173913043478,0.9256965944272446,0.996124267578125
244,1603.png,0.9433628318584071,0.8927973199329984,0.9744058500914077,0.9142367066895368,0.9990234375
245,1056.png,0.6949236076885165,0.5324773413897281,0.5398162327718223,0.975103734439834,0.9905548095703125
246,2850.png,0.9339661576557985,0.8761130468447541,0.9041150619256891,0.9658557405036279,0.9951171875
247,2616.png,0.0,0.0,0.0,0.0,0.9969329833984375
248,563.png,0.7925328807806534,0.6563598032326071,0.6596045197740112,0.9925611052072264,0.9925384521484375
249,2923.png,0.8572493477450616,0.7501630789302022,0.9778911564625851,0.7631055076310551,0.9941558837890625
250,480.png,0.0,0.0,0.0,0.0,0.992218017578125
251,141.png,0.8319088319088318,0.7121951219512195,0.7312186978297162,0.9647577092511013,0.9972991943359375
252,429.png,0.9460853258321612,0.8976868327402135,0.8992869875222816,0.9980217606330366,0.9982452392578125
253,1019.png,0.9564691656590085,0.9165701042873696,0.9987373737373737,0.9176334106728539,0.9989013671875
254,152.png,0.9180515759312321,0.8485169491525424,0.8706521739130435,0.9709090909090909,0.9978179931640625
255,2557.png,0.8184364654952891,0.6926724137931034,0.9798780487804878,0.7026672496720595,0.9891204833984375
256,498.png,0.0,0.0,0.0,0.0,0.985626220703125
257,2400.png,0.25621890547263687,0.14693295292439373,0.14693295292439373,1.0,0.98175048828125
258,1451.png,0.8189368770764119,0.6933895921237694,1.0,0.6933895921237694,0.996673583984375
259,2346.png,0.7309717568214457,0.5760090531874764,0.694722474977252,0.7712121212121212,0.98284912109375
260,2806.png,0.5993841943209032,0.42794333170493404,0.44992295839753466,0.8975409836065574,0.9821319580078125
261,970.png,0.21608040201005024,0.12112676056338029,0.12112676056338029,1.0,0.9952392578125
262,1219.png,0.8423645320197044,0.7276595744680852,0.7323340471092077,0.991304347826087,0.998046875
263,260.png,0.7303370786516853,0.5752212389380531,0.9285714285714286,0.6018518518518519,0.996337890625
264,1123.png,0.2932917316692668,0.17184643510054845,0.17184643510054845,1.0,0.9930877685546875
265,707.png,0.9687856003645477,0.9394608926204154,0.9499553172475425,0.9883774988377498,0.9979095458984375
266,2198.png,0.866649200943149,0.764678687008784,0.8155818540433925,0.9245388485187256,0.9922332763671875
267,2778.png,0.0,0.0,0.0,0.0,0.963836669921875
268,596.png,0.0,0.0,0.0,0.0,0.9927978515625
269,1987.png,0.7481713688610241,0.5976627712854758,0.7033398821218074,0.7991071428571429,0.9963226318359375
270,1949.png,0.0,0.0,0.0,0.0,0.9783477783203125
271,38.png,0.966319657072872,0.9348341232227488,0.9645476772616137,0.9680981595092024,0.9991607666015625
272,1262.png,0.6173570019723865,0.44650499286733236,1.0,0.44650499286733236,0.99407958984375
273,2736.png,0.5011016682404784,0.3343133137337253,0.3343133137337253,1.0,0.9758148193359375
274,514.png,0.7349228611500702,0.5809312638580931,0.9936788874841972,0.5830860534124629,0.9913482666015625
275,1045.png,0.9463135289906944,0.8980978260869565,0.9270687237026648,0.966374269005848,0.9988555908203125
276,1104.png,0.0,0.0,0.0,0.0,0.9756622314453125
277,1979.png,0.7388088750486571,0.5858024691358025,0.7045285820341499,0.776595744680851,0.9897613525390625
278,499.png,0.9292929292929293,0.8679245283018868,0.8846153846153846,0.9787234042553191,0.9983978271484375
279,2262.png,0.7876230661040788,0.6496519721577726,0.9475465313028765,0.6738868832731648,0.99078369140625
280,374.png,0.9501129131595156,0.9049667579194368,0.9233838786911412,0.9784355179704017,0.9962921142578125
281,2377.png,0.6402974983096688,0.4709099950273496,0.4922037422037422,0.9158607350096711,0.9837646484375
282,989.png,0.25527638190954777,0.14631336405529954,0.3333333333333333,0.20684039087947884,0.9886932373046875
283,455.png,0.8233117483811285,0.699685534591195,0.712,0.9758771929824561,0.9912567138671875
284,2784.png,0.8168038111736683,0.6903367496339677,0.7298761609907121,0.9272369714847591,0.9935455322265625
285,485.png,0.9501084598698482,0.9049586776859504,0.9894578313253012,0.913769123783032,0.9989471435546875
286,1758.png,0.0,0.0,0.0,0.0,0.99786376953125
287,2939.png,0.8761803431307356,0.7796449704142012,0.834980988593156,0.9216564073866816,0.9857940673828125
288,1777.png,0.541847489150651,0.3715986394557823,0.3715986394557823,1.0,0.9887237548828125
289,2912.png,0.05874125874125874,0.03025936599423631,0.03025936599423631,1.0,0.9897308349609375
290,1577.png,0.8931147540983606,0.806872037914692,0.9898255813953488,0.8136200716845878,0.9975128173828125
291,272.png,0.9343575418994414,0.8768020969855832,0.9737991266375546,0.897986577181208,0.99713134765625
292,1248.png,0.798870056497175,0.665098777046096,0.8881909547738693,0.7258726899383984,0.99456787109375
293,2821.png,0.0,0.0,0.0,0.0,0.9550323486328125
294,10.png,0.9537987679671458,0.9116781157998037,0.985153764581124,0.9243781094527364,0.998626708984375
295,2755.png,0.8665568369028007,0.7645348837209303,0.9776951672862454,0.7781065088757396,0.9987640380859375
296,416.png,0.935528120713306,0.8788659793814433,0.9605633802816902,0.9117647058823529,0.9992828369140625
297,1094.png,0.0,0.0,0.0,0.0,0.9940185546875
298,119.png,0.0,0.0,0.0,0.0,0.9980621337890625
299,2757.png,0.0,0.0,0.0,0.0,0.9928436279296875
300,3005.png,0.7217806041335453,0.5646766169154229,0.6666666666666666,0.7868284228769498,0.994659423828125
301,2450.png,0.6507018992568127,0.48225214198286415,0.48225214198286415,1.0,0.9806365966796875
302,431.png,0.9482758620689656,0.9016393442622951,0.9574468085106383,0.9392789373814042,0.999176025390625
303,1994.png,0.47683147812580895,0.3130523453433039,0.7617866004962779,0.34702336096458175,0.9691619873046875
304,2688.png,0.0,0.0,0.0,0.0,0.95404052734375
305,1339.png,0.3419203747072599,0.2062146892655367,0.21159420289855072,0.8902439024390244,0.9957122802734375
306,494.png,0.7576126674786845,0.6098039215686275,0.8735955056179775,0.6688172043010753,0.9969635009765625
307,1869.png,0.0,0.0,0.0,0.0,0.9922027587890625
308,71.png,0.0,0.0,0.0,0.0,0.9967803955078125
309,2657.png,0.2057877813504823,0.11469534050179211,0.11469534050179211,1.0,0.962310791015625
310,2165.png,0.47842024358519564,0.3144233758159776,0.6563919532770928,0.3763720930232558,0.9326934814453125
311,1854.png,0.013921113689095127,0.007009345794392523,0.007009345794392523,1.0,0.97406005859375
312,2243.png,0.8831478537360891,0.7907473309608541,0.8181148748159057,0.959412780656304,0.995513916015625
313,721.png,0.42063752875451865,0.2663337494798169,0.2663337494798169,1.0,0.9730987548828125
314,2674.png,0.7374050098508302,0.5840392331698618,0.5989940557841792,0.95900439238653,0.9857635498046875
315,1136.png,0.9082733812949642,0.8319604612850082,0.974903474903475,0.8501683501683501,0.998443603515625
316,2567.png,0.8394062078272605,0.7232558139534884,0.8162729658792651,0.8638888888888889,0.996368408203125
317,208.png,0.856307129798903,0.7487212276214834,0.7554838709677419,0.9881856540084388,0.9940032958984375
318,158.png,0.9319613607727846,0.8725914274478962,0.8976537216828478,0.9689956331877729,0.99505615234375
319,662.png,0.8647245457167579,0.7616869918699187,0.7683239364428498,0.9887862796833773,0.9928436279296875
320,2312.png,0.8767727702489758,0.7805836139169473,0.7805836139169473,1.0,0.9940338134765625
321,1398.png,0.9126838235294117,0.8393913778529163,0.9668938656280428,0.8642297650130548,0.997100830078125
322,145.png,0.9689016717598418,0.939679218967922,0.9725730783110791,0.9652578796561605,0.9973602294921875
323,1512.png,0.8961748633879781,0.8118811881188119,0.9507246376811594,0.8475452196382429,0.99884033203125
324,256.png,0.960857908847185,0.9246646026831785,0.9900552486187846,0.9333333333333333,0.9988861083984375
325,2989.png,0.4514386059705525,0.2915212840195394,0.3096164535853252,0.8330009970089731,0.9380340576171875
326,2762.png,0.3314269772632166,0.19862899180739008,0.21631463947560087,0.7084078711985689,0.9268646240234375
327,2575.png,0.0,0.0,0.0,0.0,0.970672607421875
328,2773.png,0.010058675607711651,0.005054759898904802,0.005054759898904802,1.0,0.9819793701171875
329,2855.png,0.5130742049469965,0.3450570342205323,0.7202380952380952,0.39846322722283206,0.9894866943359375
330,1791.png,0.8522167487684729,0.7424892703862661,1.0,0.7424892703862661,0.99908447265625
331,2751.png,0.8183716075156576,0.6925795053003534,1.0,0.6925795053003534,0.9986724853515625
332,2194.png,0.9446672012830795,0.8951367781155015,0.9075500770416025,0.9849498327759197,0.997894287109375
333,974.png,0.39263803680981596,0.24427480916030533,0.24427480916030533,1.0,0.9984893798828125
334,513.png,0.9471598414795244,0.8996235884567126,0.952191235059761,0.9421813403416557,0.99755859375
335,2882.png,0.6634100953710165,0.49634528367560043,0.5116612845353427,0.9431216931216931,0.9779205322265625
336,2222.png,0.0,0.0,0.0,0.0,0.9757843017578125
337,955.png,0.0,0.0,0.0,0.0,0.995819091796875
338,1400.png,0.8160136286201022,0.6892086330935252,0.6892086330935252,1.0,0.9967041015625
339,439.png,0.9520858164481525,0.9085532302092811,0.9366791744840526,0.968007755695589,0.9969329833984375
340,147.png,0.9278321281724089,0.8653795292250728,0.8734650293646556,0.9894163894768673,0.9922332763671875
341,502.png,0.8473655621944595,0.7351555136663525,0.7379375591296121,0.9948979591836735,0.9957122802734375
342,2294.png,0.4699927693420101,0.30718336483931946,0.9259259259259259,0.31492248062015504,0.9888153076171875
343,1377.png,0.8881578947368421,0.7988165680473372,0.9782608695652174,0.8132530120481928,0.999481201171875
344,1127.png,0.9055319148936171,0.8273716951788491,0.9962546816479401,0.8299531981279251,0.9983062744140625
345,764.png,0.6351056081573198,0.46531483457844186,0.46531483457844186,1.0,0.9923553466796875
346,250.png,0.9193109700815957,0.8506711409395973,0.9005328596802842,0.9388888888888889,0.9986419677734375
347,1467.png,0.0,0.0,0.0,0.0,0.9913330078125
348,1795.png,0.828978622327791,0.7079107505070994,0.7489270386266095,0.9281914893617021,0.997802734375
349,2595.png,0.0,0.0,0.0,0.0,0.9591217041015625
350,1808.png,0.746615087040619,0.595679012345679,1.0,0.595679012345679,0.996002197265625
351,1713.png,0.7158774373259054,0.5574837310195228,0.5611353711790393,0.9884615384615385,0.99688720703125
352,2118.png,0.46338028169014084,0.3015582034830431,1.0,0.3015582034830431,0.988372802734375
353,2599.png,0.7377777777777779,0.5845070422535211,1.0,0.5845070422535211,0.9927978515625
354,846.png,0.0,0.0,0.0,0.0,0.99554443359375
355,1980.png,0.7994389901823282,0.6658878504672897,0.7383419689119171,0.8715596330275229,0.9934539794921875
356,321.png,0.7393483709273184,0.5864811133200796,0.5923694779116466,0.9833333333333333,0.996826171875
357,942.png,0.8628352490421455,0.7587601078167115,1.0,0.7587601078167115,0.9972686767578125
358,2999.png,0.565569347004857,0.3942814145974417,0.4027671022290546,0.9492753623188406,0.9877166748046875
359,1422.png,0.834924965893588,0.7166276346604216,0.9935064935064936,0.72,0.9981536865234375
360,245.png,0.9475000000000001,0.9002375296912114,0.9334975369458128,0.9619289340101523,0.999359130859375
361,592.png,0.8321285140562249,0.7125171939477304,0.7125171939477304,1.0,0.9968109130859375
362,2005.png,0.0,0.0,0.0,0.0,0.9899139404296875
363,1872.png,0.9155534351145038,0.8442586889573251,0.849867139061116,0.9922440537745605,0.994598388671875
364,950.png,0.8561151079136691,0.7484276729559748,0.8292682926829268,0.8847583643122676,0.998779296875
365,266.png,0.9196556671449068,0.851261620185923,0.9953416149068323,0.8546666666666667,0.998291015625
366,1992.png,0.7602987231992291,0.613291877186164,0.9569436021831413,0.6306954436450839,0.9848175048828125
367,2019.png,0.8372508182088664,0.7200614124872057,0.7381951731374606,0.9670103092783505,0.9916534423828125
368,879.png,0.5949820788530465,0.42346938775510207,1.0,0.42346938775510207,0.989654541015625
369,121.png,0.9649890590809628,0.9323467230443975,0.9621818181818181,0.9678127286027798,0.99853515625
370,1313.png,0.9389473684210526,0.8849206349206349,0.9737991266375546,0.9065040650406504,0.999114990234375
371,218.png,0.833530106257379,0.7145748987854251,0.7415966386554622,0.9514824797843666,0.9978485107421875
372,40.png,0.9264339152119702,0.8629500580720093,0.9986559139784946,0.8639534883720931,0.998199462890625
373,47.png,0.9310734463276836,0.8710359408033826,0.944954128440367,0.9175946547884187,0.9972076416015625
374,2701.png,0.9153924566768604,0.8439849624060151,0.903420523138833,0.9276859504132231,0.9962005615234375
